순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
42.0,위대한 개츠비,2013-05-16,10581329643.0,0.70%,1445248.0,562.0,36008.0,미국,"미국,호주",워너브러더스 코리아(주),15세 관람가,드라마,141.0,바즈 루어만,5.0,봄
43.0,다이하드: 굿 데이 투 다이,2013-02-06,10825703000.0,0.70%,1438056.0,459.0,33055.0,미국,미국,이십세기폭스코리아(주),15세 관람가,액션,96.0,존 무어,2.0,겨울
44.0,런닝맨,2013-04-04,10060239500.0,0.70%,1422844.0,567.0,45995.0,한국,"한국,미국",이십세기폭스코리아(주),15세 관람가,액션,127.0,조동오,4.0,봄
45.0,미스터 고,2013-07-17,9337976000.0,0.60%,1328888.0,840.0,38263.0,한국,"한국,중국",(주)쇼박스,12세 관람가,드라마,132.0,김용화,7.0,여름
46.0,결혼전야,2013-11-21,8434175719.0,0.60%,1212843.0,524.0,38819.0,한국,한국,씨너스엔터테인먼트(주),15세 관람가,멜로/로맨스,118.0,홍지영,11.0,가을
47.0,깡철이,2013-10-02,8572344462.0,0.60%,1209363.0,707.0,43102.0,한국,한국,(주)씨제이이엔엠,15세 관람가,가족,108.0,안권태,10.0,가을
48.0,엘리시움,2013-08-29,9017994500.0,0.60%,1207732.0,588.0,31515.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년 관람불가,SF,109.0,닐 블롬캠프,8.0,여름
49.0,더 웹툰: 예고살인,2013-06-27,8537683070.0,0.60%,1201457.0,541.0,35931.0,한국,한국,(주)씨제이이엔엠,15세 관람가,공포,104.0,김용균,6.0,여름
50.0,웜 바디스,2013-03-14,8361708124.0,0.60%,1169839.0,477.0,37960.0,미국,미국,(주)씨제이이엔엠,15세 관람가,코미디,96.0,조나단 레빈,3.0,봄
51.0,고령화 가족,2013-05-09,8169492153.0,0.50%,1141222.0,583.0,37524.0,한국,한국,(주)씨제이이엔엠,15세 관람가,드라마,112.0,송해성,5.0,봄
52.0,헝거게임: 캣칭 파이어,2013-11-21,7850816000.0,0.50%,1125739.0,630.0,33686.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,판타지,146.0,프란시스 로렌스,11.0,가을
53.0,더 울버린,2013-07-25,7849518000.0,0.50%,1075333.0,707.0,26905.0,미국,미국,이십세기폭스코리아(주),15세 관람가,SF,125.0,제임스 맨골드,7.0,여름
54.0,동창생,2013-11-06,7010197126.0,0.50%,1048280.0,660.0,36401.0,한국,한국,(주)쇼박스,15세 관람가,액션,113.0,박홍수,11.0,가을
55.0,에픽 : 숲속의 전설,2013-08-07,6748072000.0,0.40%,978785.0,471.0,18377.0,미국,미국,이십세기폭스코리아(주),전체 관람가,애니메이션,102.0,크리스 웨지,8.0,여름
56.0,전국노래자랑,2013-05-01,6687636000.0,0.40%,978413.0,581.0,41649.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,코미디,112.0,이종필,5.0,봄
57.0,슈퍼배드 2,2013-09-12,6605655500.0,0.40%,962862.0,424.0,17373.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),전체 관람가,애니메이션,98.0,피에르 꼬팽,9.0,가을
58.0,잭 더 자이언트 킬러,2013-02-28,7376481000.0,0.50%,956154.0,507.0,27115.0,미국,미국,워너브러더스 코리아(주),12세 관람가,모험,114.0,브라이언 싱어,2.0,겨울
59.0,크루즈 패밀리,2013-05-16,6540951500.0,0.40%,941824.0,525.0,21734.0,미국,미국,(주)씨제이이엔엠,전체 관람가,애니메이션,95.0,조엘 크로포드,5.0,봄
60.0,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,6826641500.0,0.50%,931342.0,459.0,19941.0,한국,한국,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠",전체 관람가,애니메이션,77.0,박영균,1.0,겨울
61.0,개구쟁이 스머프 2,2013-08-01,5993979500.0,0.40%,921788.0,478.0,15485.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,104.0,라자 고스넬,8.0,여름
62.0,몬스터 호텔,2013-01-17,6080221500.0,0.40%,884885.0,489.0,16647.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,91.0,젠디 타타코브스키,1.0,겨울
63.0,열한시,2013-11-28,6097792000.0,0.40%,870785.0,512.0,32536.0,한국,한국,(주)씨제이이엔엠,15세 관람가,스릴러,99.0,김현석,11.0,가을
64.0,몬스터 대학교,2013-09-12,5879223500.0,0.40%,870605.0,385.0,15172.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,110.0,댄 스캔론,9.0,가을
65.0,남쪽으로 튀어,2013-02-06,5970851500.0,0.40%,832894.0,428.0,23088.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,121.0,임순례,2.0,겨울
66.0,하늘에서 음식이 내린다면 2,2013-11-21,5411562500.0,0.40%,797850.0,545.0,16340.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,94.0,코디 캐머런,11.0,가을
67.0,잭 리처,2013-01-17,5758577000.0,0.40%,784031.0,431.0,19868.0,미국,미국,(주)씨제이이엔엠,15세 관람가,액션,118.0,에드워드 즈윅,1.0,겨울
68.0,반창꼬,2012-12-19,5451422068.0,0.40%,745262.0,381.0,20840.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,120.0,정기훈,12.0,겨울
69.0,더 파이브,2013-11-14,5343797000.0,0.40%,731212.0,501.0,27308.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,스릴러,123.0,정연식,11.0,가을
70.0,더 임파서블,2013-01-17,4445235500.0,0.30%,622704.0,407.0,19595.0,스페인,"스페인,미국",롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,드라마,113.0,후안 안토니오 바요나,1.0,겨울
71.0,인시디어스: 두번째 집,2013-12-05,4001137000.0,0.30%,577748.0,405.0,18653.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,공포,106.0,제임스 완,12.0,겨울
72.0,섀도우 헌터스: 뼈의 도시,2013-09-12,4034176500.0,0.30%,571074.0,374.0,18273.0,미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,판타지,130.0,해럴드 즈워트,9.0,가을
73.0,화이트 하우스 다운,2013-06-27,4015707500.0,0.30%,569500.0,480.0,19850.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,액션,131.0,롤랜드 에머리히,6.0,여름
74.0,애프터 어스,2013-05-30,3831856167.0,0.30%,537920.0,484.0,19867.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,SF,100.0,M. 나이트 샤말란,5.0,봄
75.0,사이코메트리,2013-03-07,3978495129.0,0.30%,534273.0,429.0,23487.0,한국,한국,(주)씨제이이엔엠,청소년 관람불가,드라마,108.0,토마스 로스,3.0,봄
76.0,퍼시 잭슨과 괴물의 바다,2013-09-12,3791349609.0,0.30%,519584.0,409.0,17054.0,미국,미국,이십세기폭스코리아(주),12세 관람가,모험,106.0,쏘어 프류덴탈,9.0,가을
77.0,남자사용설명서,2013-02-14,3606654257.0,0.20%,507913.0,372.0,17238.0,한국,한국,(주)쇼박스,15세 관람가,멜로/로맨스,116.0,이원석,2.0,겨울
78.0,다이노소어 어드벤처 3D,2013-12-19,4140930000.0,0.30%,507164.0,464.0,8994.0,미국,"미국,영국",이십세기폭스코리아(주),전체 관람가,애니메이션,87.0,닐 나이팅게일,12.0,겨울
79.0,무서운 이야기 2,2013-06-05,3393667500.0,0.20%,495522.0,337.0,18509.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,공포,95.0,김성호,6.0,여름
80.0,캐치미,2013-12-18,3293262500.0,0.20%,480434.0,517.0,16151.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,대한민국,액션,12.0,이현우,12.0,겨울
81.0,썬더와 마법저택,2013-12-24,3109415000.0,0.20%,459295.0,422.0,6081.0,벨기에,벨기에,(주)씨제이이엔엠,전체 관람가,애니메이션,86.0,벤 스타센,12.0,겨울
82.0,노브레싱,2013-10-30,2991824739.0,0.20%,451669.0,584.0,24912.0,한국,"한국,필리핀",(주)나이너스엔터테인먼트,15세 관람가,드라마,118.0,조용선,10.0,가을
83.0,클라우드 아틀라스,2013-01-09,3385615727.0,0.20%,449344.0,382.0,13627.0,미국,"미국,독일",(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,SF,172.0,릴리 워쇼스키,1.0,겨울
84.0,창수,2013-11-28,3146542000.0,0.20%,429141.0,415.0,19471.0,한국,한국,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",청소년 관람불가,느와르,103.0,이덕희,11.0,가을
85.0,명탐정 코난 : 수평선상의 음모,2013-08-07,2465123000.0,0.20%,389871.0,316.0,8196.0,일본,일본,(주)씨제이이엔엠,12세 관람가,애니메이션,107.0,야마모토 야스이치로,8.0,여름
86.0,론 레인저,2013-07-04,2750149500.0,0.20%,387527.0,401.0,14155.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,액션,149.0,고어 버빈스키,7.0,여름
87.0,스토커,2013-02-28,2829265174.0,0.20%,378874.0,329.0,15590.0,미국,미국,이십세기폭스코리아(주),청소년 관람불가,스릴러,99.0,박찬욱,2.0,겨울
88.0,오즈 그레이트 앤드 파워풀,2013-03-07,2886185000.0,0.20%,350563.0,425.0,15582.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,판타지,127.0,샘 레이미,3.0,봄
89.0,미나문방구,2013-05-16,2247017000.0,0.10%,334323.0,385.0,16653.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,전체 관람가,드라마,106.0,정익환,5.0,봄
90.0,차이니즈 조디악,2013-02-27,2211711500.0,0.10%,315305.0,300.0,13432.0,중국,중국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,모험,128.0,성룡,2.0,겨울
91.0,빌리와 용감한 녀석들 2,2013-02-21,2006325000.0,0.10%,306837.0,289.0,7410.0,인도,인도,(주)에스비에스콘텐츠허브,전체 관람가,애니메이션,82.0,닉힐 아드바니,2.0,겨울
92.0,주먹왕 랄프,2012-12-19,2116917500.0,0.10%,301436.0,286.0,7086.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체 관람가,애니메이션,112.0,필 존스턴,12.0,겨울
93.0,이스케이프 플랜,2013-12-05,2106938679.0,0.10%,292892.0,287.0,10331.0,미국,미국,판씨네마(주),15세 관람가,액션,93.0,스티븐 C. 밀러,12.0,겨울
94.0,눈의 여왕,2013-02-07,1846221000.0,0.10%,276913.0,316.0,6528.0,러시아,러시아,(주)넥스트엔터테인먼트월드(NEW),미국,드라마,15.0,아담 갠저,2.0,겨울
95.0,롤러코스터,2013-10-17,1913087600.0,0.10%,270148.0,374.0,14726.0,한국,한국,(주)씨제이이엔엠,15세 관람가,코미디,94.0,하정우,10.0,가을
96.0,헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,2122205602.0,0.10%,269510.0,297.0,10624.0,미국,"미국,영국",(주)씨제이이엔엠,청소년 관람불가,액션,87.0,토미 위르콜라,2.0,겨울
97.0,파이스토리 : 악당상어 소탕작전,2013-01-10,1808263000.0,0.10%,267440.0,298.0,7483.0,미국,"미국,한국",(주)에스비에스콘텐츠허브,전체 관람가,애니메이션,80.0,마크 A.Z. 디페,1.0,겨울
98.0,장고:분노의 추적자,2013-03-21,1883634000.0,0.10%,260144.0,342.0,11792.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년 관람불가,드라마,165.0,쿠엔틴 타란티노,3.0,봄
99.0,밤의 여왕,2013-10-17,1762892500.0,0.10%,252475.0,333.0,13286.0,한국,한국,(주)인벤트스톤,15세 관람가,멜로/로맨스,113.0,김제영,10.0,가을
100.0,캡틴 필립스,2013-10-23,1679067434.0,0.10%,241514.0,302.0,10623.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세 관람가,드라마,134.0,폴 그린그래스,10.0,가을
101.0,잠베지아: 신비한 나무섬의 비밀,2012-12-25,1579355000.0,0.10%,232089.0,240.0,5946.0,남아프리카공화국,"남아프리카공화국,미국",롯데쇼핑㈜롯데엔터테인먼트,전체 관람가,애니메이션,83.0,웨인 쏜리,12.0,겨울
102.0,분노의 윤리학,2013-02-21,1658653000.0,0.10%,225618.0,302.0,11909.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,범죄,110.0,박명랑,2.0,겨울
103.0,잡스,2013-08-29,1594901136.0,0.10%,225343.0,402.0,12017.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),12세 관람가,드라마,127.0,조슈아 마이클 스턴,8.0,여름
104.0,세이빙 산타,2013-12-19,1423164000.0,0.10%,220748.0,297.0,4347.0,영국,영국,(주)영화사 빅,전체 관람가,애니메이션,84.0,레온 주센,12.0,겨울
105.0,짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,2013-04-25,1430168500.0,0.10%,217320.0,328.0,5977.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,전체 관람가,애니메이션,111.0,마스이 소우이치,4.0,봄
106.0,송 포 유,2013-04-18,1485573000.0,0.10%,217314.0,317.0,11737.0,영국,영국,(주)넥스트엔터테인먼트월드(NEW),12세 관람가,코미디,93.0,폴 앤드류 윌리엄스,4.0,봄
107.0,호빗: 뜻밖의 여정,2012-12-13,1712751650.0,0.10%,213869.0,280.0,6606.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),12세 관람가,판타지,169.0,피터 잭슨,12.0,겨울
108.0,비행기,2013-12-19,1497601500.0,0.10%,209653.0,408.0,5620.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"<dd>10.0 <span class=""bg_point per100""><span class=""ico_point""></span></span></dd>",애니메이션,92.0,전체,12.0,겨울
