순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
62.0,우는 남자,2014-06-04,4924852800.0,0.30%,603495.0,508.0,22322.0,한국,한국,(주)씨제이이엔엠,액션,청소년 관람불가,116.0,이정범,6.0,여름
63.0,타잔 3D,2014-01-09,4452845000.0,0.30%,597142.0,527.0,12994.0,독일,독일,(주)싸이더스,애니메이션,전체 관람가,94.0,라인하드 클루스,1.0,겨울
64.0,패션왕,2014-11-06,4367545379.0,0.30%,594871.0,523.0,25487.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,114.0,오기환,11.0,가을
65.0,황제를 위하여,2014-06-11,4754501771.0,0.30%,592435.0,423.0,26736.0,한국,한국,유나이티드픽처스(주),액션,15세 관람가,104.0,박상준,6.0,여름
66.0,더 울프 오브 월스트리트,2014-01-09,4490682000.0,0.30%,585082.0,395.0,13735.0,미국,미국,주식회사 우리네트웍스,코미디,청소년 관람불가,179.0,마틴 스콜세지,1.0,겨울
67.0,스텝 업: 올 인,2014-09-03,4337490134.0,0.30%,564589.0,325.0,15372.0,미국,미국,(주)나이너스엔터테인먼트,드라마,12세 관람가,111.0,트리시 시에,9.0,가을
68.0,어바웃 타임,2013-12-05,4077030200.0,0.30%,536634.0,282.0,12323.0,영국,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로/로맨스,15세 관람가,123.0,리차드 커티스,12.0,겨울
69.0,몬스터,2014-03-13,4138207515.0,0.30%,526557.0,527.0,25460.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년 관람불가,114.0,황인호,3.0,봄
70.0,노예 12년,2014-02-27,3644423700.0,0.20%,498043.0,326.0,19373.0,미국,"미국,영국","판씨네마(주),(주)프레인글로벌",드라마,15세 관람가,134.0,스티브 맥퀸,2.0,겨울
71.0,또 하나의 약속,2014-02-06,3533799400.0,0.20%,497613.0,192.0,14847.0,한국,한국,영화사올(주),드라마,12세 관람가,115.0,김태윤,2.0,겨울
72.0,엔더스 게임,2013-12-31,3695768000.0,0.20%,487679.0,458.0,18384.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,12세 관람가,114.0,개빈 후드,12.0,겨울
73.0,소녀괴담,2014-07-02,3554806054.0,0.20%,481696.0,455.0,19432.0,한국,한국,(주)리틀빅픽쳐스,드라마,15세 관람가,85.0,믹키 리델,7.0,여름
74.0,조선미녀삼총사,2014-01-29,3471341321.0,0.20%,480361.0,388.0,14031.0,한국,한국,(주)쇼박스,코미디,12세 관람가,107.0,박제현,1.0,겨울
75.0,넛잡: 땅콩 도둑들,2014-01-29,3283691800.0,0.20%,478993.0,382.0,10817.0,한국,"한국,캐나다,미국",(주)싸이더스,애니메이션,전체 관람가,86.0,피터 레페니오티스,1.0,겨울
76.0,마담 뺑덕,2014-10-02,3728980590.0,0.20%,471172.0,536.0,21636.0,한국,한국,(주)씨제이이엔엠,멜로/로맨스,청소년 관람불가,111.0,임필성,10.0,가을
77.0,썬더와 마법저택,2013-12-24,3004330500.0,0.20%,444848.0,396.0,9501.0,벨기에,벨기에,(주)씨제이이엔엠,애니메이션,전체 관람가,86.0,벤 스타센,12.0,겨울
78.0,다이버전트,2014-04-16,3297769011.0,0.20%,424045.0,511.0,21396.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,12세 관람가,121.0,로베르트 슈벤트케,4.0,봄
79.0,주온 : 끝의 시작,2014-07-16,3071127231.0,0.20%,410644.0,394.0,15339.0,일본,일본,(주)넥스트엔터테인먼트월드(NEW),공포,15세 관람가,91.0,오치아이 마사유키,7.0,여름
80.0,좋은 친구들,2014-07-10,3222101031.0,0.20%,407228.0,371.0,17831.0,한국,한국,(주)씨제이이엔엠,범죄,청소년 관람불가,114.0,이도윤,7.0,여름
81.0,닌자터틀,2014-08-28,3321120147.0,0.20%,400329.0,479.0,15188.0,미국,미국,(주)씨제이이엔엠,액션,12세 관람가,112.0,데이브 그린,8.0,여름
82.0,명탐정 코난 : 이차원의 저격수,2014-08-06,2768375000.0,0.20%,398606.0,299.0,6834.0,일본,일본,(주)씨제이이엔엠,애니메이션,12세 관람가,110.0,시즈노 코분,8.0,여름
83.0,나의 독재자,2014-10-30,2906674546.0,0.20%,385932.0,654.0,24217.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,127.0,이해준,10.0,가을
84.0,천재 강아지 미스터 피바디,2014-04-24,2859791400.0,0.20%,385552.0,533.0,10520.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,92.0,롭 민코프,4.0,봄
85.0,하이힐,2014-06-03,2750311500.0,0.20%,341634.0,385.0,16750.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,느와르,청소년 관람불가,125.0,장진,6.0,여름
86.0,선 오브 갓,2014-04-10,2393896300.0,0.20%,329252.0,419.0,15313.0,미국,미국,(주)프레인글로벌,드라마,12세 관람가,138.0,크리스토퍼 스펜서,4.0,봄
87.0,잭 라이언 : 코드네임 쉐도우,2014-01-16,2395391500.0,0.20%,327589.0,419.0,12908.0,미국,"미국,러시아",(주)씨제이이엔엠,액션,12세 관람가,105.0,케네스 브래너,1.0,겨울
88.0,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,2080468500.0,0.10%,320409.0,406.0,8363.0,일본,일본,(주)씨제이이엔엠,애니메이션,전체 관람가,94.0,유야마 쿠니히코,1.0,겨울
89.0,숲속으로,2014-12-24,2409562888.0,0.20%,317406.0,356.0,7709.0,미국,미국,월트디즈니컴퍼니코리아(주),판타지,전체 관람가,125.0,롭 마샬,12.0,겨울
90.0,레드카펫,2014-10-23,2405669580.0,0.20%,316953.0,385.0,17696.0,한국,한국,(주)프레인글로벌,다큐멘터리,전체 관람가,90.0,프레드릭 발리프,10.0,가을
91.0,미녀와 야수,2014-06-18,2393617300.0,0.20%,316332.0,387.0,15414.0,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),판타지,전체 관람가,129.0,빌 콘돈,6.0,여름
92.0,비행기 2: 소방구조대,2014-08-13,2246970700.0,0.10%,311456.0,341.0,6562.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,83.0,로버츠 개너웨이,8.0,여름
93.0,프랑켄슈타인: 불멸의 영웅,2014-02-06,2175466123.0,0.10%,299205.0,378.0,12113.0,미국,"미국,호주",(주)쇼박스,액션,12세 관람가,93.0,스튜어트 베티,2.0,겨울
94.0,"러브, 로지",2014-12-10,2223782646.0,0.10%,292177.0,379.0,11935.0,영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,15세 관람가,102.0,크리스티안 디터,12.0,겨울
95.0,오큘러스,2014-05-29,2122466537.0,0.10%,279488.0,336.0,9210.0,미국,미국,씨네그루(주)다우기술,미스터리,<dd>18분</dd>,105.0,마이크 플래너건,5.0,봄
96.0,사랑에 대한 모든 것,2014-12-10,2124639846.0,0.10%,273336.0,399.0,12417.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),멜로/로맨스,12세 관람가,123.0,제임스 마쉬,12.0,겨울
97.0,노벰버 맨,2014-10-16,1891131320.0,0.10%,252444.0,395.0,16197.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,101.0,로저 도널드슨,10.0,가을
98.0,툼스톤,2014-09-18,1875449247.0,0.10%,242707.0,378.0,16226.0,미국,미국,(주)인벤트스톤,액션,청소년 관람불가,113.0,스콧 프랭크,9.0,가을
99.0,레고 무비,2014-02-06,1601300200.0,0.10%,236129.0,317.0,6703.0,미국,미국,워너브러더스 코리아(주),애니메이션,전체 관람가,107.0,마이크 미첼,2.0,겨울
100.0,뽀로로 극장판 눈요정 마을 대모험,,1160549300.0,0.10%,231875.0,181.0,4990.0,한국,한국,,애니메이션,전체 관람가,35.0,김현호,,가을
101.0,쓰리데이즈 투 킬,2014-04-03,1749223200.0,0.10%,229673.0,388.0,13766.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,115.0,맥지,4.0,봄
102.0,저스틴,2013-12-31,1526356500.0,0.10%,229577.0,332.0,6164.0,스페인,스페인,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체 관람가,90.0,마누엘 시실라,12.0,겨울
103.0,극장판 루팡 3세 VS 명탐정 코난,2014-05-29,1585872205.0,0.10%,225842.0,327.0,5429.0,일본,일본,(주)씨제이이엔엠,애니메이션,12세 관람가,108.0,카메가키 하지메,5.0,봄
104.0,헤라클레스 : 레전드 비긴즈,2014-04-10,1662357151.0,0.10%,221340.0,390.0,14217.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,99.0,레니 할린,4.0,봄
105.0,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",2014-10-02,1567640100.0,0.10%,215046.0,363.0,6727.0,일본,일본,(주)이수C&E,액션,전체 관람가,60.0,사카모토 코이치,10.0,가을
106.0,덕수리 5형제,2014-12-04,1590807200.0,0.10%,210777.0,346.0,10719.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,102.0,전형준,12.0,겨울
107.0,덤 앤 더머 투,2014-11-27,1436861585.0,0.10%,192726.0,343.0,8990.0,미국,미국,씨네그루(주)다우기술,코미디,15세 관람가,108.0,바비 패럴리,11.0,가을
108.0,론 서바이버,2014-04-02,1433147820.0,0.10%,190611.0,305.0,11565.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,121.0,피터 버그,4.0,봄
109.0,컬러풀 웨딩즈,2014-10-16,1455808980.0,0.10%,190384.0,343.0,12956.0,프랑스,프랑스,(주)이수C&E,코미디,12세 관람가,97.0,필립 드 쇼브홍,10.0,가을
110.0,일곱난쟁이,2014-12-24,1317916900.0,0.10%,184661.0,263.0,2847.0,독일,독일,플러스엠 엔터테인먼트,애니메이션,전체 관람가,90.0,헤랄드 지페르만,12.0,겨울
111.0,명탐정 코난 : 탐정들의 진혼가,2014-02-13,1199685100.0,0.10%,182666.0,294.0,5499.0,일본,일본,(주)씨제이이엔엠,애니메이션,12세 관람가,111.0,야마모토 야스이치로,2.0,겨울
112.0,라스트베가스,2014-05-08,1363570176.0,0.10%,177938.0,349.0,10796.0,미국,미국,(주)나이너스엔터테인먼트,코미디,15세 관람가,104.0,존 터틀타웁,5.0,봄
113.0,아빠를 빌려드립니다,2014-11-20,1190329500.0,0.10%,172652.0,326.0,8457.0,한국,한국,"플러스엠 엔터테인먼트,(주)레드로버",드라마,12세 관람가,112.0,김덕수,11.0,가을
114.0,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,2014-09-04,1200157300.0,0.10%,168171.0,277.0,4040.0,일본,일본,(주)이수C&E,애니메이션,전체 관람가,109.0,야쿠와 신노스케,9.0,가을
115.0,호빗: 스마우그의 폐허,2013-12-12,1286428767.0,0.10%,166866.0,172.0,4394.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),판타지,12세 관람가,161.0,피터 잭슨,12.0,겨울
116.0,폴리스 스토리 2014,2014-01-29,1138068500.0,0.10%,153591.0,251.0,5490.0,중국,중국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,111.0,딩성,1.0,겨울
117.0,익스펜더블 3,2014-08-20,1158358800.0,0.10%,152025.0,320.0,8087.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,127.0,패트릭 휴즈,8.0,여름
118.0,마다가스카의 펭귄,2014-12-31,1048496800.0,0.10%,148890.0,509.0,1497.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,92.0,에릭 다넬,12.0,겨울
119.0,테이큰 3,2015-01-01,1013909000.0,0.10%,145627.0,502.0,1688.0,미국,미국,이십세기폭스코리아(주),액션,15세 관람가,112.0,올리비에 메가턴,1.0,겨울
120.0,가시,2014-04-10,1095301000.0,0.10%,142170.0,356.0,11622.0,한국,한국,(주)인벤트스톤,서스펜스,청소년 관람불가,117.0,김태균,4.0,봄
121.0,맨홀,2014-10-08,1084557130.0,0.10%,133663.0,286.0,10324.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,청소년 관람불가,101.0,신재영,10.0,가을
122.0,터키,2014-07-31,790848700.0,0.10%,113795.0,182.0,2384.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체 관람가,91.0,지미 헤이워드,7.0,여름
123.0,더 시그널,2014-07-09,812086328.0,0.10%,106081.0,263.0,6694.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,12세 관람가,94.0,윌리엄 유뱅크,7.0,여름
124.0,니드 포 스피드,2014-04-16,835859900.0,0.10%,105340.0,349.0,9991.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세 관람가,130.0,스캇 워프,4.0,봄
125.0,박스트롤,2014-11-06,731976100.0,0.00%,102682.0,346.0,3577.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체 관람가,96.0,그레이엄 애나블,11.0,가을
126.0,다이노소어 어드벤처 3D,2013-12-19,719586500.0,0.00%,92799.0,271.0,3044.0,미국,"미국,영국",이십세기폭스코리아(주),애니메이션,전체 관람가,87.0,닐 나이팅게일,12.0,겨울
127.0,슈퍼미니,2014-04-10,662218500.0,0.00%,92447.0,303.0,3343.0,프랑스,프랑스,판씨네마(주),애니메이션,전체 관람가,92.0,토마스 자보,4.0,봄
128.0,집으로 가는 길,2013-12-11,675687000.0,0.00%,91480.0,149.0,3085.0,한국,한국,(주)씨제이이엔엠,드라마,15세 관람가,131.0,방은진,12.0,겨울
129.0,허큘리스,2014-08-06,669882800.0,0.00%,86553.0,278.0,4318.0,미국,미국,워너브러더스 코리아(주),액션,15세 관람가,98.0,브렛 래트너,8.0,여름
130.0,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,2014-04-03,596032100.0,0.00%,84306.0,301.0,3278.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체 관람가,95.0,하시모토 마사카즈,4.0,봄
131.0,씬 시티: 다크히어로의 부활,2014-09-11,656718748.0,0.00%,83182.0,345.0,8415.0,미국,미국,플러스엠 엔터테인먼트,액션,청소년 관람불가,102.0,프랭크 밀러,9.0,가을
132.0,터널 3D,2014-08-20,620874000.0,0.00%,80989.0,264.0,5076.0,한국,한국,(주)박수엔터테인먼트,공포,15세 관람가,86.0,박규택,8.0,여름
133.0,아더 우먼,2014-11-13,593353218.0,0.00%,78978.0,331.0,6408.0,미국,미국,이십세기폭스코리아(주),코미디,15세 관람가,109.0,닉 카사베츠,11.0,가을
134.0,브릭 맨션: 통제불능 범죄구역,2014-08-27,543025047.0,0.00%,74912.0,287.0,5707.0,프랑스,"프랑스,캐나다",씨네그루(주)다우기술,액션,15세 관람가,90.0,카밀 들라마레,8.0,여름
135.0,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,2014-08-13,531113700.0,0.00%,74346.0,123.0,1998.0,일본,일본,(주)포켓몬코리아,애니메이션,전체 관람가,80.0,유야마 쿠니히코,8.0,여름
136.0,정글히어로,2014-10-02,511579300.0,0.00%,72047.0,287.0,2825.0,한국,한국,(주)씨제이이엔엠,애니메이션,전체 관람가,82.0,박태동,10.0,가을
