,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
123,124.0,파라노말 액티비티 3,2011-10-20,948704000.0,0.001,131437.0,180.0,6147.0,미국,미국,(주)씨제이이엔엠,12세 관람가,공포,82.0,헨리 유스트,10.0,가을
124,125.0,라이온 킹,1994-07-02,1334509500.0,0.001,125535.0,246.0,2580.0,미국,미국,브에나비스타인터내셔널코리아/월트디즈니,전체 관람가,애니메이션,89.0,로저 알러스,7.0,여름
125,126.0,썬더일레븐 극장판 : 최강군단 오우거의 습격,2011-05-05,811159500.0,0.001,123363.0,166.0,3030.0,일본,일본,(주)미디어데이,전체 관람가,애니메이션,90.0,미야오 요시카즈,5.0,봄
126,127.0,라스트 나잇,2011-04-07,910843000.0,0.001,119963.0,243.0,12030.0,미국,"미국,프랑스",(주)싸이더스,청소년 관람불가,멜로/로맨스,90.0,마시 태지딘,4.0,봄
127,128.0,정무문 : 100대 1의 전설,2011-06-22,872350500.0,0.001,117141.0,225.0,8958.0,홍콩,"홍콩,중국",(주)싸이더스,15세 관람가,액션,103.0,유위강,6.0,여름
128,129.0,로맨틱 크라운,2011-08-17,860047500.0,0.001,114888.0,239.0,8174.0,미국,미국,(주)싸이더스,12세 관람가,멜로/로맨스,99.0,톰 행크스,8.0,여름
129,130.0,러브 앤 프렌즈,2011-06-16,795721500.0,0.001,110795.0,207.0,6863.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,코미디,112.0,루크 그린필드,6.0,여름
130,131.0,히트,2011-10-13,783919500.0,0.001,110631.0,171.0,5960.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,범죄,170.0,마이클 만,10.0,가을
131,132.0,웨이 백,2011-03-17,777981500.0,0.001,106223.0,175.0,7269.0,미국,미국,(주)쇼박스,12세 관람가,드라마,133.0,피터 위어,3.0,봄
132,133.0,타운,2011-01-27,763767000.0,0.001,98866.0,158.0,6377.0,미국,미국,워너브러더스 코리아(주),청소년 관람불가,범죄,124.0,벤 애플렉,1.0,겨울
133,134.0,기생령,2011-08-05,750901000.0,0.001,96992.0,207.0,5783.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,청소년 관람불가,공포,92.0,고석진,8.0,여름
134,135.0,프리스트,2011-06-09,839493000.0,0.001,93336.0,228.0,7800.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세 관람가,액션,87.0,스콧 찰스 스튜어트,6.0,여름
135,136.0,샤크 나이트 3D,2011-09-15,855047000.0,0.001,92505.0,239.0,8293.0,미국,미국,(주)화앤담이엔티,15세 관람가,공포,91.0,데이비드 R. 엘리스,9.0,가을
136,137.0,타워 하이스트,2011-11-17,631715500.0,0.001,90840.0,213.0,6624.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),12세 관람가,액션,105.0,브렛 래트너,11.0,가을
137,138.0,써니,2011-07-28,698549500.0,0.001,90562.0,54.0,1574.0,한국,한국,(주)씨제이이엔엠,15세 관람가,코미디,124.0,강형철,7.0,여름
138,139.0,옥보단,2011-05-12,969826000.0,0.001,84798.0,269.0,8360.0,홍콩,홍콩,(주)화앤담이엔티,청소년 관람불가,멜로/로맨스,88.0,하번,5.0,봄
139,140.0,아따맘마 - 극장판,2011-02-17,533355500.0,0.0,81352.0,90.0,2123.0,일본,일본,에이원엔터테인먼트,전체 관람가,애니메이션,95.0,야스미 테츠오,2.0,겨울
140,141.0,프렌즈 위드 베네핏,2011-10-27,591765000.0,0.0,80197.0,210.0,6077.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년 관람불가,코미디,109.0,윌 글럭,10.0,가을
